figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status,reuse_notes
"47.3","47","Environmental Controls on Nectar Secretion","assets/diagrams/wave-05/fig-47-3-environmental-controls-nectar-secretion.svg","docs/illustration-plans/chapter-47-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HONEY_QUALITY_FAMILY conventions coordinated"
"47.9","47","Colony Population Timing Before a Flow","assets/diagrams/wave-05/fig-47-9-colony-population-timing-before-flow.svg","docs/illustration-plans/chapter-47-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"47.10","47","Storage-Space Decision","assets/diagrams/wave-05/fig-47-10-storage-space-decision.svg","docs/illustration-plans/chapter-47-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"48.1","48","Harvest Readiness Decision Flow","assets/diagrams/wave-05/fig-48-1-harvest-readiness-decision-flow.svg","docs/illustration-plans/chapter-48-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HONEY_QUALITY_FAMILY conventions coordinated"
"48.3","48","Honey Refractometer Use","assets/diagrams/wave-05/fig-48-3-honey-refractometer-use.svg","docs/illustration-plans/chapter-48-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","CLEAN_ZONE_SYSTEM hygiene conventions coordinated"
"48.4","48","Representative Moisture Sampling","assets/diagrams/wave-05/fig-48-4-representative-moisture-sampling.svg","docs/illustration-plans/chapter-48-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","HONEY_QUALITY_FAMILY conventions coordinated"
"49.1","49","One-Way Honey-Room Workflow","assets/diagrams/wave-05/fig-49-1-one-way-honey-room-workflow.svg","docs/illustration-plans/chapter-49-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","CLEAN_ZONE_SYSTEM hygiene conventions coordinated"
"49.4","49","Tangential Versus Radial Extraction","assets/diagrams/wave-05/fig-49-4-tangential-vs-radial-extraction.svg","docs/illustration-plans/chapter-49-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"49.13","49","Extraction Safety Hazards","assets/diagrams/wave-05/fig-49-13-extraction-safety-hazards.svg","docs/illustration-plans/chapter-49-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"50.1","50","Minimal-Processing Flow","assets/diagrams/wave-05/fig-50-1-minimal-processing-flow.svg","docs/illustration-plans/chapter-50-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"50.2","50","Settling Tank Separation","assets/diagrams/wave-05/fig-50-2-settling-tank-separation.svg","docs/illustration-plans/chapter-50-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"50.3","50","Straining Versus Legal “Filtered Honey”","assets/diagrams/wave-05/fig-50-3-straining-vs-filtered-honey.svg","docs/illustration-plans/chapter-50-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"51.2","51","Food Safety, Quality, and Shelf Life","assets/diagrams/wave-05/fig-51-2-food-safety-quality-shelf-life.svg","docs/illustration-plans/chapter-51-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
