figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status,reuse_notes
"34.1","34","The Biological Colony Year","assets/diagrams/wave-04/fig-34-1-biological-colony-year.svg","docs/illustration-plans/chapter-34-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"34.2","34","Seasonal Decision Framework","assets/diagrams/wave-04/fig-34-2-seasonal-decision-framework.svg","docs/illustration-plans/chapter-34-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"34.4","34","Seasonal Inspection Objectives","assets/diagrams/wave-04/fig-34-4-seasonal-inspection-objectives.svg","docs/illustration-plans/chapter-34-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"35.2","35","Monthly Priority Matrix","assets/diagrams/wave-04/fig-35-2-monthly-priority-matrix.svg","docs/illustration-plans/chapter-35-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"35.3","35","One-Month-Ahead Equipment Planning","assets/diagrams/wave-04/fig-35-3-one-month-ahead-equipment-planning.svg","docs/illustration-plans/chapter-35-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"35.4","35","Monthly Inspection Record","assets/diagrams/wave-04/fig-35-4-monthly-inspection-record.svg","docs/illustration-plans/chapter-35-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared record-sheet layout family reused"
"36.2","36","Colony Inspection Record Sheet","assets/diagrams/wave-04/fig-36-2-colony-inspection-record-sheet.svg","docs/illustration-plans/chapter-36-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","Shared record-sheet layout family reused"
"36.6","36","Honey Batch Traceability","assets/diagrams/wave-04/fig-36-6-honey-batch-traceability.svg","docs/illustration-plans/chapter-36-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"36.7","36","Record Review Cycle","assets/diagrams/wave-04/fig-36-7-record-review-cycle.svg","docs/illustration-plans/chapter-36-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF","TRACEABILITY_CHAIN review logic retained"
"37.1","37","Inspection Mistakes","assets/diagrams/wave-04/fig-37-1-inspection-mistakes.svg","docs/illustration-plans/chapter-37-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"37.3","37","Queen-Cell Decision Guide","assets/diagrams/wave-04/fig-37-3-queen-cell-decision-guide.svg","docs/illustration-plans/chapter-37-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
"37.6","37","Harvest Mistakes","assets/diagrams/wave-04/fig-37-6-harvest-mistakes.svg","docs/illustration-plans/chapter-37-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF",""
