figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status
"60.2","60","Revenue Streams and Biological Inputs","assets/diagrams/wave-07/fig-60-2-revenue-streams-biological-inputs.svg","docs/illustration-plans/chapter-60-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"60.9","60","Compliance Map","assets/diagrams/wave-07/fig-60-9-compliance-map.svg","docs/illustration-plans/chapter-60-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"61.5","61","Manual Versus Mechanised Cost Trade-Off","assets/diagrams/wave-07/fig-61-5-manual-vs-mechanised-cost-tradeoff.svg","docs/illustration-plans/chapter-61-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"61.7","61","Buy / Rent / Share / Outsource Decision","assets/diagrams/wave-07/fig-61-7-buy-rent-share-outsource-decision.svg","docs/illustration-plans/chapter-61-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"62.3","62","Value Proposition","assets/diagrams/wave-07/fig-62-3-value-proposition.svg","docs/illustration-plans/chapter-62-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"62.7","62","Floral Claim Evidence","assets/diagrams/wave-07/fig-62-7-floral-claim-evidence.svg","docs/illustration-plans/chapter-62-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"63.5","63","Brand Proof Pyramid","assets/diagrams/wave-07/fig-63-5-brand-proof-pyramid.svg","docs/illustration-plans/chapter-63-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"63.10","63","Claim Library","assets/diagrams/wave-07/fig-63-10-claim-library.svg","docs/illustration-plans/chapter-63-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"64.4","64","Online Product Page Anatomy","assets/diagrams/wave-07/fig-64-4-online-product-page-anatomy.svg","docs/illustration-plans/chapter-64-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"64.9","64","Product-Specific Shipping","assets/diagrams/wave-07/fig-64-9-product-specific-shipping.svg","docs/illustration-plans/chapter-64-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"65.1","65","Farmers-Market Business Model","assets/diagrams/wave-07/fig-65-1-farmers-market-business-model.svg","docs/illustration-plans/chapter-65-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
"65.2","65","Market-Day Contribution","assets/diagrams/wave-07/fig-65-2-market-day-contribution.svg","docs/illustration-plans/chapter-65-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_LAYOUT_PROOF"
