figure_id,chapter,title,path,source_plan,editorial_priority,status,rights_status,accessibility_status,layout_status
"70.5","70","Organic Feeding Decision","assets/diagrams/wave-09/fig-70-5-organic-feeding-decision.svg","docs/illustration-plans/chapter-70-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"70.7","70","Organic Varroa IPM","assets/diagrams/wave-09/fig-70-7-organic-varroa-ipm.svg","docs/illustration-plans/chapter-70-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"71.2","71","Managed Honey Bee Versus Wild Pollinator Community","assets/diagrams/wave-09/fig-71-2-managed-vs-wild-pollinator-community.svg","docs/illustration-plans/chapter-71-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"71.10","71","Biodiversity Monitoring Toolkit","assets/diagrams/wave-09/fig-71-10-biodiversity-monitoring-toolkit.svg","docs/illustration-plans/chapter-71-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"72.9","72","Managed Hive Stocking Near Sensitive Habitat","assets/diagrams/wave-09/fig-72-9-managed-hive-stocking-sensitive-habitat.svg","docs/illustration-plans/chapter-72-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"72.11","72","Monitoring Before and After","assets/diagrams/wave-09/fig-72-11-monitoring-before-after.svg","docs/illustration-plans/chapter-72-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"73.8","73","Confusion Matrix for Disease Detection","assets/diagrams/wave-09/fig-73-8-confusion-matrix-disease-detection.svg","docs/illustration-plans/chapter-73-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"73.9","73","Research Frontiers Map","assets/diagrams/wave-09/fig-73-9-research-frontiers-map.svg","docs/illustration-plans/chapter-73-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"74.2","74","Technology-Adoption Framework","assets/diagrams/wave-09/fig-74-2-technology-adoption-framework.svg","docs/illustration-plans/chapter-74-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
"74.10","74","Honey Authenticity and Digital Traceability","assets/diagrams/wave-09/fig-74-10-honey-authenticity-digital-traceability.svg","docs/illustration-plans/chapter-74-illustration-plan.md","A_CORE","ACTUAL_VECTOR_CREATED","ORIGINAL_ASSET_FOR_HANDBOOK","SVG_TITLE_DESC_AND_NON_COLOUR_CUES_PRESENT","PENDING_FINAL_RECONCILIATION"
